hdi_rank,country,region,gii_rep,gini,rank,mat_mort_ratio,mmr_calc,adol_birth_rate,parliament,PRf,PRm,seced_f,seced_m,Sef,Sem,labour_f,labour_m,female_index,male_index,harm,healthavg,empowermentavg,lfpravg,gfm,gii_calc,gii_rep2
139,Zambia,Africa,0.526,57.5,124,224,224,90.4,12.7,0.127,0.873,52.3,48.9,0.523,0.489,69.8,80.9,0.1587,0.8085,0.2653,0.5111,0.4555,0.7535,0.5598,0.526,0.526
142,Sao Tome and Principe,Africa,0.524,50.8,122,156,156,84.3,18.2,0.182,0.818,30.8,44.8,0.308,0.448,45.3,76.2,0.1435,0.7727,0.2421,0.5138,0.4211,0.6075,0.5084,0.5238,0.524
143,Cambodia,World,0.479,36,112,161,161,51.6,19,0.19,0.81,13.2,26.1,0.132,0.261,75.5,86.7,0.1607,0.736,0.2638,0.5173,0.3091,0.811,0.5062,0.4789,0.479
146,Kenya,Africa,0.565,47.7,135,510,510,90.9,20.8,0.208,0.792,27.8,34.1,0.278,0.341,62.1,72.1,0.1299,0.7209,0.2202,0.5073,0.3801,0.671,0.5058,0.5647,0.565
148,Swaziland,Africa,0.566,51.5,137,389,389,70.4,14.7,0.147,0.853,27.3,30.5,0.273,0.305,40,64.2,0.1153,0.6893,0.1975,0.5096,0.3552,0.521,0.4552,0.5661,0.566
151,Tanzania (United Republic of),Africa,0.544,37.6,129,398,398,118.6,36,0.36,0.64,10.1,15.3,0.101,0.153,74,83.3,0.1271,0.6388,0.212,0.5073,0.2518,0.7865,0.4649,0.5439,0.544
153,Cameroon,Africa,0.568,38.9,138,596,596,104.6,27.1,0.271,0.729,31.7,37.9,0.317,0.379,71,81.1,0.1381,0.7526,0.2334,0.5063,0.4094,0.7605,0.5402,0.5679,0.568
157,Mauritania,Africa,0.626,40.5,147,602,602,78.6,22.2,0.222,0.778,11.1,23.5,0.111,0.235,29.1,65.3,0.0872,0.6536,0.1539,0.5073,0.2923,0.472,0.4121,0.6264,0.626
159,Rwanda,Africa,0.383,50.8,84,290,290,26.3,57.5,0.575,0.425,10.5,16.4,0.105,0.164,86.4,83.2,0.1974,0.6034,0.2974,0.5181,0.2549,0.848,0.482,0.3829,0.383
160,Lesotho,Africa,0.549,52.5,132,487,487,92.7,24.8,0.248,0.752,23.6,22.5,0.236,0.225,59.2,73.9,0.1287,0.6724,0.216,0.5074,0.3266,0.6655,0.4796,0.5495,0.549
